product_code_or_sku,orders,revenue,qty_sold,Date
NLE5SP_6DBK_TL,0,0.0,0,2021-07-03
NLE5SP_6DP_VC,0,0.0,0,2021-07-03
NLE5SP_6DP_XRB,0,0.0,0,2021-07-03
NLE5AS_335CL_C24,1,9.95,1,2021-07-03
NLE5SP_6DP_SC,1,12.94,1,2021-07-03
NLE5SP_5DT_SC,1,13.05,1,2021-07-03
NLE5SP_6DBK_AD,1,18.32,1,2021-07-03
NLE5SP_6DBK_E90,1,25.97,1,2021-07-03
NLE5SP_6DT_FC,1,42.1,1,2021-07-03
NLE5SP_6DBK_48,2,154.8,4,2021-07-03
NLE5SP_6DT_VC,3,237.18,3,2021-07-03
NLE5CF_LGL,2,419.97,3,2021-07-03
ROUTEINS,48,115.67,48,2021-07-03
NLE5SP_6DVL_46TA,0,0.0,0,2021-07-03
NLE5SP_6DVL_48,0,0.0,0,2021-07-03
NLE5SP_6DVL_68TA,0,0.0,0,2021-07-03
NLE5SP_6DVL_AD,0,0.0,0,2021-07-03
NLE5SP_6DVL_ADC,0,0.0,0,2021-07-03
NLE5SP_6DVL_ADT,0,0.0,0,2021-07-03
NLE5SP_6DVL_ADWD,0,0.0,0,2021-07-03
NLE5SP_6DVL_E45,0,0.0,0,2021-07-03
NLE5SP_6DT_36SS,0,0.0,0,2021-07-03
NLE5SP_6DT_48SS,0,0.0,0,2021-07-03
NLE5SP_6DT_60CF,0,0.0,0,2021-07-03
NLE5SP_6DT_CS11,0,0.0,0,2021-07-03
NLE5SP_6DT_F6,0,0.0,0,2021-07-03
NLE5SP_8DT_VC,0,0.0,0,2021-07-03
NLE5SP_8DBK_48SS,0,0.0,0,2021-07-03
NLE5SC_SUPERCEDAR,0,0.0,0,2021-07-03
NLE5SE_6UT_48,0,0.0,0,2021-07-03
NLE5SB_36072M,0,0.0,0,2021-07-03
NLE5SB_36048M,0,0.0,0,2021-07-03
NLE5RU_97S,0,0.0,0,2021-07-03
NLE5SA_8116,0,0.0,0,2021-07-03
NLE5SA_8115,0,0.0,0,2021-07-03
NLE5SP_6DBK_TL,1,80.13,1,2021-07-04
NLE5SP_6DVL_ADT,1,55.16,1,2021-07-04
ROUTEINS,57,113.39,57,2021-07-04
NLE5CO_55300_20,0,0.0,0,2021-07-04
NLE5CF_LGL,0,0.0,0,2021-07-04
NLE5UM_6150,0,0.0,0,2021-07-04
NLE5SP_5DT_SA,0,0.0,0,2021-07-04
NLE5SP_5DT_SC,0,0.0,0,2021-07-04
NLE5SP_6DBK_24,0,0.0,0,2021-07-04
NLE5SP_6DBK_48,0,0.0,0,2021-07-04
NLE5SP_6DBK_48SS,0,0.0,0,2021-07-04
NLE5SP_6DBK_AD,0,0.0,0,2021-07-04
NLE5SP_6DBK_DS,0,0.0,0,2021-07-04
NLE5SP_8DBK_48SS,0,0.0,0,2021-07-04
NLE5AS_335CL_C24,2,19.9,2,2021-07-04
NLE5SP_8DT_VC,0,0.0,0,2021-07-04
NLE5SP_6DP_36SSCF,0,0.0,0,2021-07-04
NLE5SP_6DP_SC,0,0.0,0,2021-07-04
NLE5SP_6DP_VC,0,0.0,0,2021-07-04
NLE5SP_6DP_XRB,0,0.0,0,2021-07-04
NLE5SP_6DT_36SS,0,0.0,0,2021-07-04
NLE5SP_6DT_48SS,0,0.0,0,2021-07-04
NLE5SP_6DBK_E45,0,0.0,0,2021-07-04
NLE5SP_6DBK_E90,0,0.0,0,2021-07-04
NLE5SP_6DT_CS11,0,0.0,0,2021-07-04
NLE5SP_6DT_F6,0,0.0,0,2021-07-04
NLE5SP_6DT_FC,0,0.0,0,2021-07-04
NLE5SP_6DT_VC,0,0.0,0,2021-07-04
NLE5SP_6DVL_46TA,0,0.0,0,2021-07-04
NLE5SP_6DVL_48,0,0.0,0,2021-07-04
NLE5SP_6DVL_68TA,0,0.0,0,2021-07-04
NLE5SP_6DVL_ADC,0,0.0,0,2021-07-04
NLE5SP_6DVL_E45,0,0.0,0,2021-07-04
NLE5NC_1443,0,0.0,0,2021-07-04
NLE5SB_36048M,0,0.0,0,2021-07-04
NLE5SB_36072M,0,0.0,0,2021-07-04
NLE5SA_8115,0,0.0,0,2021-07-04
NLE5SA_8116,0,0.0,0,2021-07-04
NLE5SE_6UT_48,0,0.0,0,2021-07-04
NLE5RU_97S,0,0.0,0,2021-07-04
